"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1132","testCancelButtonNavigatesBackToCart","Cross Browser test","Mon Jun 16 16:31:26 GMT 2025","passed","Mon Jun 16 16:31:27 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","testCancelButtonNavigatesBackToCart"
"","571","checkLoginWithEmptyPasswordAndUsername","Cross Browser test","Mon Jun 16 16:31:33 GMT 2025","passed","Mon Jun 16 16:31:34 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPasswordAndUsername"
"","567","checkLoginErrors","Cross Browser test","Mon Jun 16 16:31:22 GMT 2025","passed","Mon Jun 16 16:31:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginErrors"
"","1091","testEmptyPostalCodeShowsError","Cross Browser test","Mon Jun 16 16:31:30 GMT 2025","passed","Mon Jun 16 16:31:31 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","testEmptyPostalCodeShowsError"
"Checking adding items to the cart","1109","testEmptyLastNameShowsError","Cross Browser test","Mon Jun 16 16:31:29 GMT 2025","passed","Mon Jun 16 16:31:30 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","testEmptyLastNameShowsError"
"Checking adding items to the cart","778","addItemToCart","Cross Browser test","Mon Jun 16 16:31:24 GMT 2025","passed","Mon Jun 16 16:31:25 GMT 2025","tests.CartTest","Chrome","tests.CartTest","addItemToCart"
"","595","checkLoginWithEmptyPassword","Cross Browser test","Mon Jun 16 16:31:23 GMT 2025","passed","Mon Jun 16 16:31:24 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1115","testEmptyFirstNameShowsError","Cross Browser test","Mon Jun 16 16:31:27 GMT 2025","passed","Mon Jun 16 16:31:28 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","testEmptyFirstNameShowsError"
"","4762","checkLogin","Cross Browser test","Mon Jun 16 16:31:16 GMT 2025","passed","Mon Jun 16 16:31:21 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1113","testSuccessfulCheckoutStepOne","Cross Browser test","Mon Jun 16 16:31:32 GMT 2025","passed","Mon Jun 16 16:31:33 GMT 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","testSuccessfulCheckoutStepOne"
"","634","checkLoginErrors","Cross Browser test","Mon Jun 16 16:31:21 GMT 2025","passed","Mon Jun 16 16:31:22 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginErrors"
